original_text,text,method,num_sentences,num_boundaries,sentence_texts,fragments,boundary_at_end,tokens,labels,stanza_labels
1 عیسیجان سلطان باقي دربدر رومان بیرینچی قسم ابتدا ... جزیرهنینگ تاپ۔تازهماوي آسامنیده بیر پرچه آق بولوت سوزماقده اېدی. بو بولوت بوندن یېتتی هفتهبورون قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوستیده پیدا بۉلگن، تینیمسیز اېسووچی بح ر محیط اېللری اونی عربستان چۉللریگه قدر قناتلریده اوهیلب آلیب کېلیشیب، چۉل شامللریگه تاپشیرگن اېدیلر. صحرانینگ قورغاق شاملی حارض اونی احتیاطلیک بیلن سوریب بارماقده اېدی.,1 عیسیجان سلطان باقي دربدر رومان بیرینچی قسم ابتدا جزیرهنینگ تاپ تازهماوي آسامنیده بیر پرچه آق بولوت سوزماقده اېدی بو بولوت بوندن یېتتی هفتهبورون قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوستیده پیدا بۉلگن تینیمسیز اېسووچی بح ر محیط اېللری اونی عربستان چۉللریگه قدر قناتلریده اوهیلب آلیب کېلیشیب چۉل شامللریگه تاپشیرگن اېدیلر صحرانینگ قورغاق شاملی حارض اونی احتیاطلیک بیلن سوریب بارماقده اېدی,sequential,4,4,"[""1 عیسیجان سلطان باقي دربدر رومان بیرینچی قسم ابتدا ..."", ""جزیرهنینگ تاپ۔تازهماوي آسامنیده بیر پرچه آق بولوت سوزماقده اېدی."", ""بو بولوت بوندن یېتتی هفتهبورون قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوستیده پیدا بۉلگن، تینیمسیز اېسووچی بح ر محیط اېللری اونی عربستان چۉللریگه قدر قناتلریده اوهیلب آلیب کېلیشیب، چۉل شامللریگه تاپشیرگن اېدیلر."", ""صحرانینگ قورغاق شاملی حارض اونی احتیاطلیک بیلن سوریب بارماقده اېدی.""]","[""1 عیسیجان سلطان باقي دربدر رومان بیرینچی قسم ابتدا ..."", ""جزیرهنینگ تاپ۔تازهماوي آسامنیده بیر پرچه آق بولوت سوزماقده اېدی."", ""بو بولوت بوندن یېتتی هفتهبورون قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوستیده پیدا بۉلگن، تینیمسیز اېسووچی بح ر محیط اېللری اونی عربستان چۉللریگه قدر قناتلریده اوهیلب آلیب کېلیشیب، چۉل شامللریگه تاپشیرگن اېدیلر."", ""صحرانینگ قورغاق شاملی حارض اونی احتیاطلیک بیلن سوریب بارماقده اېدی.""]","[true, true, true, true]",1 عیسیجان سلطان باقي دربدر رومان بیرینچی قسم ابتدا جزیرهنینگ تاپ تازهماوي آسامنیده بیر پرچه آق بولوت سوزماقده اېدی بو بولوت بوندن یېتتی هفتهبورون قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوستیده پیدا بۉلگن تینیمسیز اېسووچی بح ر محیط اېللری اونی عربستان چۉللریگه قدر قناتلریده اوهیلب آلیب کېلیشیب چۉل شامللریگه تاپشیرگن اېدیلر صحرانینگ قورغاق شاملی حارض اونی احتیاطلیک بیلن سوریب بارماقده اېدی,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1,1000000010000010000100000100000100000001000100000200000000010001000000001000000001000100001001000001000000001000020010000010000010000010000000001000001000000000010000010000010000000100000001000010000010000000010000000100101000010000001000010000000100000000100010000000001000000100001000000010001000000000100000000100000020000000010000001000001000010000100000000010000100000100000000100002
پېشانهلریگه و سداقلریگه تی ه پ ۔تیک تورگن آدم باشلی شېر تصویری توشیریلگن، خلق »مخېس« دېب ناملهگن اۉلیم لشکری بوگون بیر آدمنی قتل اوچون آلیب کېتامقده اېدی. نامینینگ اۉزییاق کیشیلرده قۉرقوو و دهشت اویغاتهدیگن بو عسکرلر نه آته۔آنهسینی، نه قرینداش۔اوروغینی بیلر، گودکلیگیدهیاق یقینلریدن تارتیب آلینیب، نامعلوم تامانلرگه - صحرا ایچکریسیگه آلیب کېتیلر، وایهگه یېتگنیدن سۉنگگینه اۉلیم لشکری صفیگه کېلیب قۉشیلر، اولرنینگ ابلیسانه شفقتسیزلیگی حقیده آدملر آرهسیده بیر۔بیریدن مدهش تورلی گپ-سۉزلر یورر اېدی.,پېشانهلریگه و سداقلریگه تی ه پ تیک تورگن آدم باشلی شېر تصویری توشیریلگن خلق مخېس دېب ناملهگن اۉلیم لشکری بوگون بیر آدمنی قتل اوچون آلیب کېتامقده اېدی نامینینگ اۉزییاق کیشیلرده قۉرقوو و دهشت اویغاتهدیگن بو عسکرلر نه آته آنهسینی نه قرینداش اوروغینی بیلر گودکلیگیدهیاق یقینلریدن تارتیب آلینیب نامعلوم تامانلرگه صحرا ایچکریسیگه آلیب کېتیلر وایهگه یېتگنیدن سۉنگگینه اۉلیم لشکری صفیگه کېلیب قۉشیلر اولرنینگ ابلیسانه شفقتسیزلیگی حقیده آدملر آرهسیده بیر بیریدن مدهش تورلی گپ سۉزلر یورر اېدی,sequential,2,2,"[""پېشانهلریگه و سداقلریگه تی ه پ ۔تیک تورگن آدم باشلی شېر تصویری توشیریلگن، خلق »مخېس« دېب ناملهگن اۉلیم لشکری بوگون بیر آدمنی قتل اوچون آلیب کېتامقده اېدی."", ""نامینینگ اۉزییاق کیشیلرده قۉرقوو و دهشت اویغاتهدیگن بو عسکرلر نه آته۔آنهسینی، نه قرینداش۔اوروغینی بیلر، گودکلیگیدهیاق یقینلریدن تارتیب آلینیب، نامعلوم تامانلرگه - صحرا ایچکریسیگه آلیب کېتیلر، وایهگه یېتگنیدن سۉنگگینه اۉلیم لشکری صفیگه کېلیب قۉشیلر، اولرنینگ ابلیسانه شفقتسیزلیگی حقیده آدملر آرهسیده بیر۔بیریدن مدهش تورلی گپ-سۉزلر یورر اېدی.""]","[""پېشانهلریگه و سداقلریگه تی ه پ ۔تیک تورگن آدم باشلی شېر تصویری توشیریلگن، خلق »مخېس« دېب ناملهگن اۉلیم لشکری بوگون بیر آدمنی قتل اوچون آلیب کېتامقده اېدی."", ""نامینینگ اۉزییاق کیشیلرده قۉرقوو و دهشت اویغاتهدیگن بو عسکرلر نه آته۔آنهسینی، نه قرینداش۔اوروغینی بیلر، گودکلیگیدهیاق یقینلریدن تارتیب آلینیب، نامعلوم تامانلرگه - صحرا ایچکریسیگه آلیب کېتیلر، وایهگه یېتگنیدن سۉنگگینه اۉلیم لشکری صفیگه کېلیب قۉشیلر، اولرنینگ ابلیسانه شفقتسیزلیگی حقیده آدملر آرهسیده بیر۔بیریدن مدهش تورلی گپ-سۉزلر یورر اېدی.""]","[true, true]",پېشانهلریگه و سداقلریگه تی ه پ تیک تورگن آدم باشلی شېر تصویری توشیریلگن خلق مخېس دېب ناملهگن اۉلیم لشکری بوگون بیر آدمنی قتل اوچون آلیب کېتامقده اېدی نامینینگ اۉزییاق کیشیلرده قۉرقوو و دهشت اویغاتهدیگن بو عسکرلر نه آته آنهسینی نه قرینداش اوروغینی بیلر گودکلیگیدهیاق یقینلریدن تارتیب آلینیب نامعلوم تامانلرگه صحرا ایچکریسیگه آلیب کېتیلر وایهگه یېتگنیدن سۉنگگینه اۉلیم لشکری صفیگه کېلیب قۉشیلر اولرنینگ ابلیسانه شفقتسیزلیگی حقیده آدملر آرهسیده بیر بیریدن مدهش تورلی گپ سۉزلر یورر اېدی,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,00000000001010000000001001010100010000010001000001000100000010000000001000100001000100000001000001000001000001000100000100010000010000100000000100002000000001000000010000000010000001010000100000000000100100000010010001000000010010000000100000000100001000000000000010000000001000000100000010000000100000000010000100000000001000010000001000000100000000100000000100000100000100000100000100000010000000010000000010000000000010000010000010000000100010000001000010000010010000010000100002
قتل اوچون تېپهلیکده مخصوص جای تیارلب قۉییلگن، محکومنینگ آیاقلریگه، قۉللریگه یېلکهسی ارهلش زیل۔زمبیل کیشنلر اوریلگن بۉلیب، زلواریدن جوده قیینهلیب قدم تشلر، هنسیرهب نفس آلر، تېورهکدهگی آدملرنینگ هزل۔مزاح ارهلش ایتگن سۉزلری قوالغیگه گاه کیریب، گاه اېشیتیلمهی قالر اېدی. قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوزره بنا بۉلگن آق بولوت پرچهسی انه شو محکومنینگ باشی اوزره سایه تشلب کېلهیاتگن اېدی.,قتل اوچون تېپهلیکده مخصوص جای تیارلب قۉییلگن محکومنینگ آیاقلریگه قۉللریگه یېلکهسی ارهلش زیل زمبیل کیشنلر اوریلگن بۉلیب زلواریدن جوده قیینهلیب قدم تشلر هنسیرهب نفس آلر تېورهکدهگی آدملرنینگ هزل مزاح ارهلش ایتگن سۉزلری قوالغیگه گاه کیریب گاه اېشیتیلمهی قالر اېدی قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوزره بنا بۉلگن آق بولوت پرچهسی انه شو محکومنینگ باشی اوزره سایه تشلب کېلهیاتگن اېدی,sequential,2,2,"[""قتل اوچون تېپهلیکده مخصوص جای تیارلب قۉییلگن، محکومنینگ آیاقلریگه، قۉللریگه یېلکهسی ارهلش زیل۔زمبیل کیشنلر اوریلگن بۉلیب، زلواریدن جوده قیینهلیب قدم تشلر، هنسیرهب نفس آلر، تېورهکدهگی آدملرنینگ هزل۔مزاح ارهلش ایتگن سۉزلری قوالغیگه گاه کیریب، گاه اېشیتیلمهی قالر اېدی."", ""قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوزره بنا بۉلگن آق بولوت پرچهسی انه شو محکومنینگ باشی اوزره سایه تشلب کېلهیاتگن اېدی.""]","[""قتل اوچون تېپهلیکده مخصوص جای تیارلب قۉییلگن، محکومنینگ آیاقلریگه، قۉللریگه یېلکهسی ارهلش زیل۔زمبیل کیشنلر اوریلگن بۉلیب، زلواریدن جوده قیینهلیب قدم تشلر، هنسیرهب نفس آلر، تېورهکدهگی آدملرنینگ هزل۔مزاح ارهلش ایتگن سۉزلری قوالغیگه گاه کیریب، گاه اېشیتیلمهی قالر اېدی."", ""قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوزره بنا بۉلگن آق بولوت پرچهسی انه شو محکومنینگ باشی اوزره سایه تشلب کېلهیاتگن اېدی.""]","[true, true]",قتل اوچون تېپهلیکده مخصوص جای تیارلب قۉییلگن محکومنینگ آیاقلریگه قۉللریگه یېلکهسی ارهلش زیل زمبیل کیشنلر اوریلگن بۉلیب زلواریدن جوده قیینهلیب قدم تشلر هنسیرهب نفس آلر تېورهکدهگی آدملرنینگ هزل مزاح ارهلش ایتگن سۉزلری قوالغیگه گاه کیریب گاه اېشیتیلمهی قالر اېدی قیزیل دېنگیزنینگ چوچوک سوولی آقیملری اوزره بنا بۉلگن آق بولوت پرچهسی انه شو محکومنینگ باشی اوزره سایه تشلب کېلهیاتگن اېدی,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,001000001000000000100000100010000001000000010000000001000000000100000000100000001000001000100000100000010000000100000100000000100001000000001000100001000000010001000100000000001000000000100010000100000100000100000010000000010001000001000100000000001000010000200000100000000001000001000001000000010000010001000001001000001000000100010010000000001000010000010000100001000000000100002
محکوم - بیر مبارک کیشی اېدی. کولهیاتگن بو بدبخت آالمان آرهسیده بیر اېتیکدۉز هم بار اېدی. * * * اېتیکدۉز بوگون اذانده کلبهسینینگ یانیدهگی درخت شاخلریده قاپ۔قاره چومچوقلر تۉپلنیب آلگنینی کۉردی. بولراېسه عیناً اونینگ الیسوواق اویینینگ یانیگه تۉپلهنیشگن، نه آواز چیقرر، نه دان۔دون تېرر، فقط سینچکاو باقیرش و نیمهنی۔دیر کوتیرشدی.,محکوم بیر مبارک کیشی اېدی کولهیاتگن بو بدبخت آالمان آرهسیده بیر اېتیکدۉز هم بار اېدی اېتیکدۉز بوگون اذانده کلبهسینینگ یانیدهگی درخت شاخلریده قاپ قاره چومچوقلر تۉپلنیب آلگنینی کۉردی بولراېسه عینا اونینگ الیسوواق اویینینگ یانیگه تۉپلهنیشگن نه آواز چیقرر نه دان دون تېرر فقط سینچکاو باقیرش و نیمهنی دیر کوتیرشدی,sequential,4,4,"[""محکوم - بیر مبارک کیشی اېدی."", ""کولهیاتگن بو بدبخت آالمان آرهسیده بیر اېتیکدۉز هم بار اېدی."", ""* * * اېتیکدۉز بوگون اذانده کلبهسینینگ یانیدهگی درخت شاخلریده قاپ۔قاره چومچوقلر تۉپلنیب آلگنینی کۉردی."", ""بولراېسه عیناً اونینگ الیسوواق اویینینگ یانیگه تۉپلهنیشگن، نه آواز چیقرر، نه دان۔دون تېرر، فقط سینچکاو باقیرش و نیمهنی۔دیر کوتیرشدی.""]","[""محکوم - بیر مبارک کیشی اېدی."", ""کولهیاتگن بو بدبخت آالمان آرهسیده بیر اېتیکدۉز هم بار اېدی."", ""* * * اېتیکدۉز بوگون اذانده کلبهسینینگ یانیدهگی درخت شاخلریده قاپ۔قاره چومچوقلر تۉپلنیب آلگنینی کۉردی."", ""بولراېسه عیناً اونینگ الیسوواق اویینینگ یانیگه تۉپلهنیشگن، نه آواز چیقرر، نه دان۔دون تېرر، فقط سینچکاو باقیرش و نیمهنی۔دیر کوتیرشدی.""]","[true, true, true, true]",محکوم بیر مبارک کیشی اېدی کولهیاتگن بو بدبخت آالمان آرهسیده بیر اېتیکدۉز هم بار اېدی اېتیکدۉز بوگون اذانده کلبهسینینگ یانیدهگی درخت شاخلریده قاپ قاره چومچوقلر تۉپلنیب آلگنینی کۉردی بولراېسه عینا اونینگ الیسوواق اویینینگ یانیگه تۉپلهنیشگن نه آواز چیقرر نه دان دون تېرر فقط سینچکاو باقیرش و نیمهنی دیر کوتیرشدی,0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,00001000100000100001000020000000001001000001000000100000001000100000000100100010000200000000100000100000010000000000100000000100001000000001000100001000000001000000010000000100000200000000100001000000100000000100000000100000010000000000100100001000001001000100010000100010000000100000010100000010001000000002
- اۉلیم لشکری بوگون انهوی کیشینی قتل اېتهدی. - سېن تشقریده نیمهنی کۉردینگ؟« »هېچ نرسهنی«. »یالغان. اېتیکدۉز قیر ق اوچ یاشیگه نسبتاً انچه قریمسیق کۉرینهدیگن، آز غین، حرکتچن بیر آدم اېدی.,اۉلیم لشکری بوگون انهوی کیشینی قتل اېتهدی سېن تشقریده نیمهنی کۉردینگ هېچ نرسهنی یالغان اېتیکدۉز قیر ق اوچ یاشیگه نسبتا انچه قریمسیق کۉرینهدیگن آز غین حرکتچن بیر آدم اېدی,sequential,3,3,"[""- اۉلیم لشکری بوگون انهوی کیشینی قتل اېتهدی."", ""- سېن تشقریده نیمهنی کۉردینگ؟« »هېچ نرسهنی«. »یالغان."", ""اېتیکدۉز قیر ق اوچ یاشیگه نسبتاً انچه قریمسیق کۉرینهدیگن، آز غین، حرکتچن بیر آدم اېدی.""]","[""- اۉلیم لشکری بوگون انهوی کیشینی قتل اېتهدی."", ""- سېن تشقریده نیمهنی کۉردینگ؟« »هېچ نرسهنی«. »یالغان."", ""اېتیکدۉز قیر ق اوچ یاشیگه نسبتاً انچه قریمسیق کۉرینهدیگن، آز غین، حرکتچن بیر آدم اېدی.""]","[true, true, true]",اۉلیم لشکری بوگون انهوی کیشینی قتل اېتهدی سېن تشقریده نیمهنی کۉردینگ هېچ نرسهنی یالغان اېتیکدۉز قیر ق اوچ یاشیگه نسبتا انچه قریمسیق کۉرینهدیگن آز غین حرکتچن بیر آدم اېدی,0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,0000100000100000100000100000010001000000200010000000100000010000000100010000001000000200000000100010100010000001000001000010000000100000000001001000100000010001000100002
او قناعتلی و تېجملی انسان بۉلیب، هر بیر کونی قطعي حساب۔کتاب و اۉلچاو اساسیده کېچگنی باعث، تېورهکدهگیلر اۉته خسیس، بیراوگه رضری هم، فایدهسی هم تېگمهیدیگن آدم صفتیده بیلیرشدی. شهرده بایلر و کمبغللر کۉپ، قوللر و چۉریلر اېسه اوندن هم کۉپ، بیراق اېتیکدۉز نه بای، نه کمبغل - اۉرتهميانه بیر آدم اېدی.,او قناعتلی و تېجملی انسان بۉلیب هر بیر کونی قطعي حساب کتاب و اۉلچاو اساسیده کېچگنی باعث تېورهکدهگیلر اۉته خسیس بیراوگه رضری هم فایدهسی هم تېگمهیدیگن آدم صفتیده بیلیرشدی شهرده بایلر و کمبغللر کۉپ قوللر و چۉریلر اېسه اوندن هم کۉپ بیراق اېتیکدۉز نه بای نه کمبغل اۉرتهميانه بیر آدم اېدی,sequential,2,2,"[""او قناعتلی و تېجملی انسان بۉلیب، هر بیر کونی قطعي حساب۔کتاب و اۉلچاو اساسیده کېچگنی باعث، تېورهکدهگیلر اۉته خسیس، بیراوگه رضری هم، فایدهسی هم تېگمهیدیگن آدم صفتیده بیلیرشدی."", ""شهرده بایلر و کمبغللر کۉپ، قوللر و چۉریلر اېسه اوندن هم کۉپ، بیراق اېتیکدۉز نه بای، نه کمبغل - اۉرتهميانه بیر آدم اېدی.""]","[""او قناعتلی و تېجملی انسان بۉلیب، هر بیر کونی قطعي حساب۔کتاب و اۉلچاو اساسیده کېچگنی باعث، تېورهکدهگیلر اۉته خسیس، بیراوگه رضری هم، فایدهسی هم تېگمهیدیگن آدم صفتیده بیلیرشدی."", ""شهرده بایلر و کمبغللر کۉپ، قوللر و چۉریلر اېسه اوندن هم کۉپ، بیراق اېتیکدۉز نه بای، نه کمبغل - اۉرتهميانه بیر آدم اېدی.""]","[true, true]",او قناعتلی و تېجملی انسان بۉلیب هر بیر کونی قطعي حساب کتاب و اۉلچاو اساسیده کېچگنی باعث تېورهکدهگیلر اۉته خسیس بیراوگه رضری هم فایدهسی هم تېگمهیدیگن آدم صفتیده بیلیرشدی شهرده بایلر و کمبغللر کۉپ قوللر و چۉریلر اېسه اوندن هم کۉپ بیراق اېتیکدۉز نه بای نه کمبغل اۉرتهميانه بیر آدم اېدی,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,010000000101000000100000100000100100010000100001000010000101000000100000001000000100001000000000000100001000010000000100001001000000010010000000000100010000001000000002000001000001010000000100010000010100000010000100000100100010000010000000010010001001000001000000000010001000100002
حرضتنینگ بشارتی حرضتنی او بوندن اۉتّیز اوچ ییل ا ّول اوچرهتگن اېدی. حرضت شو اطرافدهگی درخت شاخلریده قاره چومچوقلرنینگ تۉپلنیب آلگنینی کۉردی.,حرضتنینگ بشارتی حرضتنی او بوندن اۉتیز اوچ ییل ا ول اوچرهتگن اېدی حرضت شو اطرافدهگی درخت شاخلریده قاره چومچوقلرنینگ تۉپلنیب آلگنینی کۉردی,sequential,2,2,"[""حرضتنینگ بشارتی حرضتنی او بوندن اۉتّیز اوچ ییل ا ّول اوچرهتگن اېدی."", ""حرضت شو اطرافدهگی درخت شاخلریده قاره چومچوقلرنینگ تۉپلنیب آلگنینی کۉردی.""]","[""حرضتنینگ بشارتی حرضتنی او بوندن اۉتّیز اوچ ییل ا ّول اوچرهتگن اېدی."", ""حرضت شو اطرافدهگی درخت شاخلریده قاره چومچوقلرنینگ تۉپلنیب آلگنینی کۉردی.""]","[true, true]",حرضتنینگ بشارتی حرضتنی او بوندن اۉتیز اوچ ییل ا ول اوچرهتگن اېدی حرضت شو اطرافدهگی درخت شاخلریده قاره چومچوقلرنینگ تۉپلنیب آلگنینی کۉردی,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1,0000000100000010000001001000001000001000100010100100000000100002000010010000000001000010000000010000100000000000010000000100000001000002
حرضت رنگ۔قوتی اۉچگنچه، بالهکهیگه قرهب توریب: - اۉغلیم، آتینگ نیمه؟ - دېب سۉرهدی. بالهکهی اسمینی ایتدی.,حرضت رنگ قوتی اۉچگنچه بالهکهیگه قرهب توریب اۉغلیم آتینگ نیمه دېب سۉرهدی بالهکهی اسمینی ایتدی,sequential,2,2,"[""حرضت رنگ۔قوتی اۉچگنچه، بالهکهیگه قرهب توریب: - اۉغلیم، آتینگ نیمه؟ - دېب سۉرهدی."", ""بالهکهی اسمینی ایتدی.""]","[""حرضت رنگ۔قوتی اۉچگنچه، بالهکهیگه قرهب توریب: - اۉغلیم، آتینگ نیمه؟ - دېب سۉرهدی."", ""بالهکهی اسمینی ایتدی.""]","[true, true]",حرضت رنگ قوتی اۉچگنچه بالهکهیگه قرهب توریب اۉغلیم آتینگ نیمه دېب سۉرهدی بالهکهی اسمینی ایتدی,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1,00010001000010000000100000000010000100000100000010000010000100010000002000000010000001000002
کېین یالغیز بو یۉلچیگه قیزیقیب قرهب، سۉرهدی: - سیز اوزاقدن کېلیهپسیز می؟ - جودهیم اوزاقدن، - دېب جواب قیلدی حرضت، اونینگ یانیگه اۉتیریب، قۉلینی بالهکهینینگ یېلکهسیگه قۉیرکن. - چرچهدینگیز می؟ - دېدی باله. چال باش ایرغهدی. قیده۔دیر تۉرغهی َسیرهدی.,کېین یالغیز بو یۉلچیگه قیزیقیب قرهب سۉرهدی سیز اوزاقدن کېلیهپسیز می جودهیم اوزاقدن دېب جواب قیلدی حرضت اونینگ یانیگه اۉتیریب قۉلینی بالهکهینینگ یېلکهسیگه قۉیرکن چرچهدینگیز می دېدی باله چال باش ایرغهدی قیده دیر تۉرغهی سیرهدی,sequential,4,4,"[""کېین یالغیز بو یۉلچیگه قیزیقیب قرهب، سۉرهدی: - سیز اوزاقدن کېلیهپسیز می؟ - جودهیم اوزاقدن، - دېب جواب قیلدی حرضت، اونینگ یانیگه اۉتیریب، قۉلینی بالهکهینینگ یېلکهسیگه قۉیرکن."", ""- چرچهدینگیز می؟ - دېدی باله."", ""چال باش ایرغهدی."", ""قیده۔دیر تۉرغهی َسیرهدی.""]","[""کېین یالغیز بو یۉلچیگه قیزیقیب قرهب، سۉرهدی: - سیز اوزاقدن کېلیهپسیز می؟ - جودهیم اوزاقدن، - دېب جواب قیلدی حرضت، اونینگ یانیگه اۉتیریب، قۉلینی بالهکهینینگ یېلکهسیگه قۉیرکن."", ""- چرچهدینگیز می؟ - دېدی باله."", ""چال باش ایرغهدی."", ""قیده۔دیر تۉرغهی َسیرهدی.""]","[true, true, true, true]",کېین یالغیز بو یۉلچیگه قیزیقیب قرهب سۉرهدی سیز اوزاقدن کېلیهپسیز می جودهیم اوزاقدن دېب جواب قیلدی حرضت اونینگ یانیگه اۉتیریب قۉلینی بالهکهینینگ یېلکهسیگه قۉیرکن چرچهدینگیز می دېدی باله چال باش ایرغهدی قیده دیر تۉرغهی سیرهدی,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1,0001000000100100000001000000010000100000010001000000010000000001001000000100000001000100001000001000010000001000000100000001000000100000000000100000000010000002000000000010010000100002000100010000000200001000100000010000002
بالهکهی کۉککه باقیب، تۉرغهی حرضتنینگ باشی اوستیده ایلهنیب َسیرهیاتگنینی کۉردی. - بو چومچوقلر کۉپدن بېری شو یېرده می؟ - دېب سۉرهدی حرضت.,بالهکهی کۉککه باقیب تۉرغهی حرضتنینگ باشی اوستیده ایلهنیب سیرهیاتگنینی کۉردی بو چومچوقلر کۉپدن بېری شو یېرده می دېب سۉرهدی حرضت,sequential,2,2,"[""بالهکهی کۉککه باقیب، تۉرغهی حرضتنینگ باشی اوستیده ایلهنیب َسیرهیاتگنینی کۉردی."", ""- بو چومچوقلر کۉپدن بېری شو یېرده می؟ - دېب سۉرهدی حرضت.""]","[""بالهکهی کۉککه باقیب، تۉرغهی حرضتنینگ باشی اوستیده ایلهنیب َسیرهیاتگنینی کۉردی."", ""- بو چومچوقلر کۉپدن بېری شو یېرده می؟ - دېب سۉرهدی حرضت.""]","[true, true]",بالهکهی کۉککه باقیب تۉرغهی حرضتنینگ باشی اوستیده ایلهنیب سیرهیاتگنینی کۉردی بو چومچوقلر کۉپدن بېری شو یېرده می دېب سۉرهدی حرضت,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1,000000100000100000100000010000000010000100000001000000010000000000001000002001000000001000001000010010000010010001000000100002
